language_code,text_reviews_count,average_rating,description,authors,publication_year,book_id,ratings_count,work_id,title,title_without_series,isbn,isbn13,image_url
eng,10,4.34,"The stakes are raised in the second book of this glamorous new horse riding series set in the USA - winner takes all as the rivals compete for the showjumping cup! Don't miss the latest instalment of pony adventures from the author of the UK's bestselling pony series 'Pony Club Secrets'.
Georgie has secured her place at Blainford Academy for now, but knowing who to trust is tough when you're all competing against each other. Some new-found friendships might already be close to breaking point as competition heats up in the showjumping arena.
Is cute boy James about to become an ally or is his scheming sister Kennedy going to wreck Georgie's dreams?
And can she really trust her rivals? Find out in the exciting second term!","[{'author_id': '845253', 'role': ''}]",2010.0,8588790,208,13458247,Showjumpers,Showjumpers,0007333447,9780007333448,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
en-US,14,3.8,"Cam Jansen can find a mystery anywher, even in the school lunch room! When Jason opens his lunch box and finds only cookie crumbs, Cam's amazing memory clicks into action.","[{'author_id': '15856', 'role': ''}, {'author_id': '300737', 'role': 'Illustrator'}]",1998.0,1019898,179,557396,"Young Cam Jansen and the Missing Cookie (Young Cam Jansen Mysteries, #2)","Young Cam Jansen and the Missing Cookie (Young Cam Jansen Mysteries, #2)",0140380507,9780140380507,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,3,3.93,"Dog Overboard! Finding a lost, injured dog on a remote island throws Jeff's summer into a chaos of challenges. Where did this magnificent Doberman come from, and why is no one looking for him? Jeff could not find the answers, but the answers eventually found him in a way he could never have imagined. The results challenge his perspective and force him to face tough choices in a way that most twelve-year-olds never encounter.
Set in the summertime paradise of northeastern Michigan, in the author's hometown of Hessel, adults and children alike will enjoy this heartwarming story of a young boy and the dog he yearns to call his own.
Don't miss the sequel, Shadows: a Scout story; additional entries to the series coming soon.","[{'author_id': '876748', 'role': ''}]",1988.0,1927325,44,1929583,Scout,Scout,0890844135,9780890844137,https://images.gr-assets.com/books/1472446829m/1927325.jpg
eng,30,3.06,"When the streets are empty and kids are called home for dinner and put to bed, the world becomes a magical place. It's only then that the night children emerge from the shadows, ready to play. In this evocative and lyrical picture book, it is the night children who rule, taking over the world that the day children have left behind.
The mischievous night children frolic in the twilight, rummaging for treasures and scattering surprises, stealing slices of the moon and dancing on rooftops. Only when dawn breaks do they tuck themselves away. But if you look very closely, you might just catch a glimpse of them disappearing as you wake up. Were the night children ever really there, or did you dream them?
Complemented by beautiful, glowing artwork, this poetic story about the allure of a world unknown and the parallels between imagination and reality will ignite the creative souls of children everywhere.","[{'author_id': '4102993', 'role': ''}, {'author_id': '13526184', 'role': 'Illustrator'}]",2015.0,25792108,49,45643801,The Night Children,The Night Children,1554517230,9781554517237,https://images.gr-assets.com/books/1435204351m/25792108.jpg
eng,637,4.21,"An alternate cover edition of this ISBN can be found .
Mr. and Mrs. Brown first met Paddington, a most endearing bear from Darkest Peru on a railway platform in London. A sign hanging around his neck said, ""Please look after this bear. Thank you"" So that is just what they did.
From the very first night when he attempted his first bath and ended up nearly flooding the house, Paddington was seldom far from imminent disaster. Jonathan and Judy were delighted with this havoc and even Mr. and Mrs. Brown had to admit that life seemed to be more filled with adventure when there was a bear in the house.","[{'author_id': '70993', 'role': ''}, {'author_id': '574514', 'role': 'Illustrator'}]",2014.0,160629,63452,1544060,"A Bear Called Paddington (Paddington, #1)","A Bear Called Paddington (Paddington, #1)",0007174160,9780007174164,https://images.gr-assets.com/books/1393784912m/160629.jpg
eng,9,4.07,"Danny's dad is the best - a wonderful mechanic, a brilliant storyteller and a genius at kites. But when Danny is nine he discovers that his father has a deep, dark secret - a secret that leads them on a dangerous and thrilling adventure-","[{'author_id': '4273', 'role': ''}, {'author_id': '146', 'role': 'Illustrator'}]",2002.0,24953,108,824600,Danny The Champion Of The World,Danny The Champion Of The World,022406469X,9780224064699,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,1,4.02,"Second grade is not turning out the way it should for Ramona Quimby. Her dad has lost his job, her mom has found a full-time job, and her big sister Beezus has ""reached a difficult age."" In her inimitable way, Ramona decides to take charge. She practices TV commercials in hopes of earning a million dollars, but only ends up insulting her teacher and getting into a prickly mess with some burrs. Then she embarks on a campaign to make her father stop smoking. Mr. Quimby manages to hold up under all these strains, but the challenge is on for the whole family to prove their mettle. Once again, Beverly Cleary proves her own mettle in this touching and hilarious Newbery Honor Book. Beloved author of over two dozen children's books, and recipient of many awards, including another Newbery Honor for Ramona Quimby, Age 8and a Newbery Medal for Dear Mr. Henshaw, Cleary's instinct for children's jumbled emotions is flawless. Alan Tiegreen's adroit line drawings perfectly complement Cleary's style; it's hard to imagine one without the other. (Ages 8 to 12) --Emilie Coulter","[{'author_id': '403', 'role': ''}, {'author_id': '422740', 'role': 'Illustrator'}]",,6520794,4,708860,Ramona and Her Father,Ramona and Her Father,1424204127,9781424204120,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,2,4.1,The valley of Moonacre is shadowed by the memory of the Moon Princess and the strange little white horse. When Maria comes there ona visit she finds herself involved in an ancient feud. She is determined to restore peace and happiness to the valley.,"[{'author_id': '50786', 'role': ''}]",1946.0,28094358,2,1178369,The Little White Horse,The Little White Horse,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,8,3.85,"Bones is on the case! Detective Jeffrey Bones is having fun eating cake and watching a clown perform tricks at Not-Me Amy?s birthday party. But when the clown can?t find her street clothes at the end of the party, it?s up to Bones to solve this Easy-to-Read mystery!","[{'author_id': '15856', 'role': ''}, {'author_id': '313251', 'role': 'Illustrator'}]",2010.0,6622396,47,6816589,"Bones and the Clown Mix-Up Mystery (Bones Mysteries, #8)","Bones and the Clown Mix-Up Mystery (Bones Mysteries, #8)",0670063444,9780670063444,https://images.gr-assets.com/books/1307387902m/6622396.jpg
eng,2,3.85,"Nursery favorites color-illustrated by various artists, selected especially for this edition by children's librarian Baker who worked in the New York Public Library System for 37 years, especially in the library's 135th St (Harlem) branch. She was a revered story-teller and council member of the ALA who spent her senior years as ""storyteller-in-residence"" at the University of Southern Carolina..
Book Includes best-loved tales from Aladdin and the Wonderful Lamp, Snow White, Jack the Giant Killer, many more. Illustrated with the classic artwork of the original tales.","[{'author_id': '1621726', 'role': 'Editor'}]",1974.0,11744044,13,16693533,Best Loved Fairy Tales Including Mother Goose Selections With Helpful Guide For Parents,Best Loved Fairy Tales Including Mother Goose Selections With Helpful Guide For Parents,1111096112,9781111096113,https://images.gr-assets.com/books/1361979871m/11744044.jpg
eng,12,3.89,,"[{'author_id': '2955501', 'role': ''}]",2001.0,682813,65,669202,"Fertility, Cycles and Nutrition: How Your Diet Affects Your Menstrual Cycles & Fertility","Fertility, Cycles and Nutrition: How Your Diet Affects Your Menstrual Cycles & Fertility",0926412094,9780926412095,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,25,3.73,Dinosaurs from a finicky stegosaurus and a knobby old ankylosaur to the frightening tyrannosaurus rex get washed and shined at the Dino Wash Deluxe. Includes section with facts about the dinosaurs mentioned in the story.,"[{'author_id': '72648', 'role': ''}, {'author_id': '510052', 'role': 'Illustrator'}]",2013.0,15044304,118,20698945,Down at the Dino Wash Deluxe,Down at the Dino Wash Deluxe,1402777981,9781402777981,https://images.gr-assets.com/books/1347340334m/15044304.jpg
eng,2,4.2,"Samantha and her best friend Gerti find some chicken eggs while visiting a farm. Samantha decides to make sure they hatch. How hard can it be to play mother hen? You'll have to read to find out how Samantha Hatches The Chicken Egg.
Samantha Hatches the Chicken Egg is a children's chapter book filled with fun and adventure while teaching about the latest urban pet, the Chicken. It is broken up into 11 chapters, which contain 14 wonderful illustrations by Matthew Gauvin.
Also included at the end of the book are Chicken Fun Facts and a Quiz to help further your child's reading enjoyment.
Book #2 in the Samantha Series.","[{'author_id': '4278006', 'role': ''}]",2012.0,15792337,6,21514106,Samantha Hatches the Chicken Egg,Samantha Hatches the Chicken Egg,,,https://images.gr-assets.com/books/1344290873m/15792337.jpg
eng,1,4.0,"Down, Down the rabbit-hole Alice falls. On a childish trip to find the time-cautious white rabbit. Carroll tells the story of Alice who travels down into a fantasy world populated by anthropomorphic creatures
The tale is filled with allusions to Carroll's friends (and enemies), and the lessons that all good schoolchildren were expected to memorize. Carroll plays with logic in ways that have given his story lasting popularity to all ages. It is considered to be the characteristic example of literary nonsense.","[{'author_id': '8164', 'role': ''}]",2008.0,23977572,3,55548884,Alice's Adventures in Wonderland (Alice's Adventures in Wonderland #1),Alice's Adventures in Wonderland (Alice's Adventures in Wonderland #1),,,https://images.gr-assets.com/books/1419096279m/23977572.jpg
eng,2,4.46,"The adventures continue for the ""New York Times"" bestselling How to Train Your Dragon series!
The dragon rebellion has begun, bringing the Vikings darkest hour upon them. Hiccup has become an outcast, but that won t stop him from going on the most harrowing and important quest of his life. He must find the dragon s jewel in order to save his people but where should he begin?
Don t miss Hiccup s most dangerous adventure yet!""","[{'author_id': '23894', 'role': ''}, {'author_id': '4022439', 'role': 'Reading'}]",2014.0,18984671,10,21582536,"How to Seize a Dragon's Jewel (How to Train Your Dragon, #10)","How to Seize a Dragon's Jewel (How to Train Your Dragon, #10)",1478900083,9781478900085,https://images.gr-assets.com/books/1393786032m/18984671.jpg
eng,1,3.17,Barty Crusoe and His Man Saturday - The Original Classic Edition,"[{'author_id': '2041', 'role': ''}]",2013.0,17722281,1,6017425,Barty Crusoe and His Man Saturday - The Original Classic Edition,Barty Crusoe and His Man Saturday - The Original Classic Edition,1486445306,9781486445301,https://images.gr-assets.com/books/1370225440m/17722281.jpg
en-US,11,4.17,"Carnegie Medalist Mal Peet and his wife, Elspeth Graham, team up for a captivating, lushly illustrated tale evoking a Chinese legend.
A Junior Library Guild Selection
Tashi lives in a tiny village at the foot of the mountains, below the tea plantations where her mother works. When her mother falls ill, Tashi goes alone to the plantation, hoping to earn money for the doctor. But she is far too small to harvest the tender shoots, and her clumsy efforts anger the cruel Overseer. She is desolate, until -- chack-chack-chack! -- something extraordinary happens. Inspired by a centuries-old legend of tea-picking monkeys, here is a richly told tale full of vivid characters: the heartless Overseer, the enigmatic Royal Tea Taster, and -- far away -- an empress with a penchant for tea.","[{'author_id': '200052', 'role': ''}, {'author_id': '2076', 'role': 'Illustrator'}, {'author_id': '66828', 'role': ''}]",,7559662,48,7350637,Cloud Tea Monkeys,Cloud Tea Monkeys,0763644536,9780763644536,https://images.gr-assets.com/books/1320536074m/7559662.jpg
en-US,15,4.01,Henry and his dog Mudge are going to their first family reunion in this fifteenth Ready-to-Read book of their adventures.,"[{'author_id': '5411', 'role': ''}, {'author_id': '492548', 'role': 'Illustrator'}]",1998.0,926649,258,911652,"Henry and Mudge in the Family Trees (Henry and Mudge, #15)","Henry and Mudge in the Family Trees (Henry and Mudge, #15)",0689823177,9780689823176,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,3,4.34,,"[{'author_id': '33274', 'role': ''}]",,6225403,47,216789,My Friend Is Sad (An Elephant & Piggie Book),My Friend Is Sad (An Elephant & Piggie Book),054507147X,9780545071475,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
en-US,7,3.0,,"[{'author_id': '140912', 'role': ''}, {'author_id': '60217', 'role': 'Illustrator'}]",,1582235,38,1575094,Dracula and Frankenstein Are Friends,Dracula and Frankenstein Are Friends,0060001151,9780060001155,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,3,4.28,"Moral allegory and spiritual autobiography, The Little Prince is the most translated book in the French language. With a timeless charm it tells the story of a little boy who leaves the safety of his own tiny planet to travel the universe, learning the vagaries of adult behaviour through a series of extraordinary encounters. His personal odyssey culminates in a voyage to Earth and further adventures.","[{'author_id': '1020792', 'role': ''}, {'author_id': '140344', 'role': 'Translator'}]",2015.0,26010862,23,2180358,The Little Prince,The Little Prince,1847494234,9781847494238,https://images.gr-assets.com/books/1441920329m/26010862.jpg
eng,13,4.65,"Catch up on the adventures of the Mysterious Benedict Society with The Mysterious Benedict Society Complete Collection. This hardcover boxed set includes all five books in the New York Timesbestselling series: The Mysterious Benedict Society, TheMysterious Benedict Society and the Perilous Journey, The Mysterious Benedict Society and the Prisoner's Dilemma, The Mysterious Benedict Society: Mr. Benedict's Book of Perplexing Puzzles, Elusive Enigmas, and Curious Conundrums, and The Extraordinary Education of Nicholas Benedict.
Filled with page-turning action and mind-bending brain teasers, these wildly inventive journeys are sure to delight.","[{'author_id': '47672', 'role': ''}]",2012.0,13528427,426,19089149,The Mysterious Benedict Society Collection (The Mysterious Benedict Society #0.5-3),The Mysterious Benedict Society Collection (The Mysterious Benedict Society #0.5-3),0316219428,9780316219426,https://images.gr-assets.com/books/1355097937m/13528427.jpg
eng,2,5.0,"Welcome to a world where fun, learning and adventure meet! Take your little ones on a trip with Nico, the friendly monkey, and watch them learn how to add and subtract with ease. Sums come alive with colourful illustrations, exciting adventures and easy-to-follow stories that will keep children occupied for hours. So join Nico, and let your children discover the joy of summing it up!","[{'author_id': '8056006', 'role': ''}]",2014.0,22002954,4,41312187,Nico Sums It Up!,Nico Sums It Up!,,9788192760612,https://images.gr-assets.com/books/1398262123m/22002954.jpg
en-US,15,3.96,"Any fan of Fudge knows that he never does anything halfway. And so it should come as no surprise that when he discovers the value of money, he goes whole hog-making his own ""Fudge Bucks,"" dressing as a miser for Halloween, and thumbing through catalogs to choose his birthday presents years in advance. His older brother, Peter, who's just starting seventh grade, finds it all highly embarrassing, as usual. But things change when the Hatchers meet their long-lost relatives, the Howie Hatchers of Honolulu, Hawaii. With new cousins Flora, Fauna, and four-year-old Farley Drexel (yes, that's right, another Farley Drexel!), the stage is set for a wild and wacky beginning to a new school year.","[{'author_id': '12942', 'role': ''}]",2002.0,439080,137,2055054,Double Fudge,Double Fudge,0525469265,9780525469261,https://images.gr-assets.com/books/1309213506m/439080.jpg
eng,33,3.41,"The Bed and Biscuit is going wild! Kids will laugh at -- and learn from -- this new adventure, as Grampa takes in some ailing critters who are anything but tame.
Ever since Grampa Bender opened his doors (and veterinary skills) to a despondent Canada goose, a cranky muskrat, and two tiny but rebellious fox kits, his animal boarding house has been turned upside down. Luckily, Ernest the mini-pig is on hand to marshal the other animals into being good hosts -- but since wild things are, well, wild by nature, it has been trickier than he imagined. Plus Ernest is trying to train Sir Walter, the Scottish terrier puppy who is the newest addition to the family. But what if Sir Walter doesn't want to be told what to do and decides that running wild like a fox sounds like lots of fun?","[{'author_id': '5282545', 'role': ''}, {'author_id': '2995409', 'role': 'Illustrator'}]",2009.0,6794832,144,6999526,Wild Times at the Bed and Biscuit,Wild Times at the Bed and Biscuit,076363705X,9780763637057,https://images.gr-assets.com/books/1320461446m/6794832.jpg
en-US,84,4.04,"A tongue-in-cheek dental history of our first President
""Poor George had two teeth in his mouth
The day the votes came in.
The people had a President,
But one afraid to grin.""
From battling toothaches while fighting the British, to having rotten teeth removed by his dentists, the Father of His Country suffered all his life with tooth problems. Yet, contrary to popular belief, he never had a set of wooden teeth. Starting at the age of twenty-four, George Washington lost on average a tooth a year, and by the time he was elected President, he had only two left! In this reverentially funny tale written in verse and based on Washington's letters, diaries, and other historical records, readers will find out what really happened as they follow the trail of lost teeth to complete tooflessness.
Illustrated in watercolors with subtle humor by Brock Cole, the main story is followed by a four-page time line featuring reproduced period portraits of Washington.
George Washington's Teethis a 2004 Bank Street - Best Children's Book of the Year.","[{'author_id': '88167', 'role': ''}, {'author_id': '88166', 'role': ''}, {'author_id': '58006', 'role': 'Illustrator'}]",,152499,454,147189,George Washington's Teeth,George Washington's Teeth,0374325340,9780374325343,https://images.gr-assets.com/books/1311983431m/152499.jpg
eng,5,4.2,"In her autobiography, The Story of My Life (1952), Enid Blyton says that, from an early age, she ""liked making up stories better than I liked doing anything else."" As a child she would go to bed at night and stories would flood into her mind ""all mixed-up, rather like dreams are, but yet each story had its own definite thread--its beginning and middle and ending."" Enid Blyton did not realise at the time that that was unusual, remarking in a letter to psychologist Peter McKellar on 15th February 1953: ""I thought all children had the same 'night stories' and was amazed when one day I found they hadn't."" She described her ""night stories"" as ""all kinds of imaginings in story form,"" saying: ""Because of this imagining I wanted to write--to put down what I had seen and felt and heard in my imagination.""
The young Enid was keen to develop her writing and story-telling skills. She told stories to her brothers, made up her own rhymes based on the rhythm and rhyme-scheme of popular nursery-rhymes, kept a diary, wrote letters to real and imaginary recipients, entered literary competitions and paid great attention in English lessons at school. She also read widely. As well as fiction and poetry, she read biographies of famous authors and borrowed books from the library on the Art of Writing.
The advice Enid Blyton gives in The Story of My Life to children who want to write is: ""Fill your mind with all kinds of interesting things--the more you have in it, the more will come out of it. Nothing ever comes out of your mind that hasn't already been put into it in some form or other. It may come out changed, re-arranged, polished, shining, almost unrecognizable--but nevertheless it was you who put it there first of all. Your thoughts, your actions, your reading, your sense of humour, everything gets packed into your mind, and if you have an imagination, what a wonderful assortment it will have to choose from!""
Enid began submitting her work to publishers when she was in her teens, but at that stage she received countless rejection slips. However, that only made her all the more determined to persevere with her writing: ""It is partly the struggle that helps you so much, that gives you determination, character, self-reliance--all things that help in any profession or trade, and most certainly in writing."" As we know, Enid Blyton went on to achieve phenomenal success, beginning with the publication of magazine articles and poetry when she was in her twenties.","[{'author_id': '10657', 'role': ''}]",,3153502,10,3185083,The Story Of My Life,The Story Of My Life,0246127953,9780246127952,https://images.gr-assets.com/books/1312043598m/3153502.jpg
en-US,71,3.65,"Everybody at the station! It's time for winter hibernation! The sweet rhyming text of this book will calm even the most rambunctious kids and have them dreaming about what it's like to hibernate. Young readers will be soothed and delighted as this story introduces them to different types of hibernating animals. The creatures on the train are preparing to snuggle into sleep, although with a passenger list that includes chipmunks, bears, snakes, hedgehogs, groundhogs, frogs, turtles, mice, bats, and more, there's a lot of noise! Will the hibernating critters ever get to sleep? Take a trip to Hibernation Station to find out!","[{'author_id': '667667', 'role': ''}, {'author_id': '15015', 'role': 'Illustrator'}]",2010.0,6767111,397,6965983,Hibernation Station,Hibernation Station,1416937889,9781416937883,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
